LSOA_Code,RUC21CD,RUC21NM,Urban_rural_flag
E01000227,UN1,Urban: Nearer to a major town or city,Urban
E01000228,UN1,Urban: Nearer to a major town or city,Urban
E01000229,UN1,Urban: Nearer to a major town or city,Urban
E01000230,UN1,Urban: Nearer to a major town or city,Urban
E01000231,UN1,Urban: Nearer to a major town or city,Urban
E01000232,UN1,Urban: Nearer to a major town or city,Urban
E01000233,UN1,Urban: Nearer to a major town or city,Urban
E01000234,UN1,Urban: Nearer to a major town or city,Urban
E01000235,UN1,Urban: Nearer to a major town or city,Urban
E01000236,UN1,Urban: Nearer to a major town or city,Urban
E01000237,UN1,Urban: Nearer to a major town or city,Urban
E01000238,UN1,Urban: Nearer to a major town or city,Urban
E01000239,UN1,Urban: Nearer to a major town or city,Urban
E01000240,UN1,Urban: Nearer to a major town or city,Urban
E01000241,UN1,Urban: Nearer to a major town or city,Urban
E01000242,UN1,Urban: Nearer to a major town or city,Urban
E01000243,UN1,Urban: Nearer to a major town or city,Urban
E01000244,UN1,Urban: Nearer to a major town or city,Urban
E01000245,UN1,Urban: Nearer to a major town or city,Urban
E01000246,UN1,Urban: Nearer to a major town or city,Urban
E01000247,UN1,Urban: Nearer to a major town or city,Urban
E01000248,UN1,Urban: Nearer to a major town or city,Urban
E01000249,UN1,Urban: Nearer to a major town or city,Urban
E01000250,UN1,Urban: Nearer to a major town or city,Urban
E01000251,UN1,Urban: Nearer to a major town or city,Urban
E01000252,UN1,Urban: Nearer to a major town or city,Urban
E01000253,UN1,Urban: Nearer to a major town or city,Urban
E01000254,UN1,Urban: Nearer to a major town or city,Urban
E01000255,UN1,Urban: Nearer to a major town or city,Urban
E01000256,UN1,Urban: Nearer to a major town or city,Urban
E01000257,UN1,Urban: Nearer to a major town or city,Urban
E01000258,UN1,Urban: Nearer to a major town or city,Urban
E01000259,UN1,Urban: Nearer to a major town or city,Urban
E01000260,UN1,Urban: Nearer to a major town or city,Urban
E01000261,UN1,Urban: Nearer to a major town or city,Urban
E01000263,UN1,Urban: Nearer to a major town or city,Urban
E01000314,UN1,Urban: Nearer to a major town or city,Urban
E01000315,UN1,Urban: Nearer to a major town or city,Urban
E01000316,UN1,Urban: Nearer to a major town or city,Urban
E01000317,UN1,Urban: Nearer to a major town or city,Urban
E01000318,UN1,Urban: Nearer to a major town or city,Urban
E01000319,UN1,Urban: Nearer to a major town or city,Urban
E01000320,UN1,Urban: Nearer to a major town or city,Urban
